idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,url_avis
26-39691,2026-04-20,95,['95'],S.I.A.R.E,2614 Trvx : Travaux De Réfection De Berges Du Lac Nord à Soisy-Sous-Montmorency,Berge,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39691
26-39694,2026-04-20,59,['59'],SIVU Télédistribution,Accord cadre travaux d'extension du réseau FTTH SIVU,Voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39694
26-39746,2026-04-20,73,"['73', '74', '38']",DDT de la Savoie,Réfection et confortement de barrages sur le Charmaix,"Ouvrage d'art, Terrassement",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39746
26-39719,2026-04-20,69,"['69', '1', '42', '38']",SGAMI SUD-EST,Marché de travaux de 9 lots portant sur la rénovation des locaux de la DSIC du SGAMI Sud-Est (69). Il est composé d'une tranche ferme et de deux tranches optionnelles.,Travaux de viabilité,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39719
26-39633,2026-04-20,65,['65'],COMMUNAUTE D'AGGLOMERATION TARBES-LOURDES-PYRENEES,Travaux de réalisation d'une voie provisoire,Voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39633
26-39682,2026-04-20,75,['75'],Ville de Paris,Modernisation de l'ascenseur de la coulée verte 34 rue de Lyon - LOT 2 : TCE Go 201819117,Bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39682
26-39709,2026-04-20,88,['88'],Centre Hospitalier Emile Durkheim,Travaux de rénovation du service 1D maternité et travaux de compartimentage bâtiment E du CH de Remiremont,"Cloison, faux plafond, Menuiserie, Amiante (désamiantage), Matériel de secours et d'incendie",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39709
26-39822,2026-04-20,83,['83'],Département du Var,"Travaux D'Amélioration Fonctionnelle, D'Accessibilité Et De Réhabilitation Du Collège De Coubertin Au Luc En Provence - Marché n°20260739 Travaux d'étanchéité complémentaire des bâ","Etanchéité, Bâtiment",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39822
26-39825,2026-04-20,75,['75'],Caisse d'Assurance Vieillesse des Pharmaciens,Travaux de mise en place d'un système de gestion technique du bâtiment (Gtb) en conformité avec le décret Bacs,Electricité (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39825
26-39759,2026-04-20,11,['11'],Voies Navigables de France,Marché de Travaux - Aménagement des Ports du Somail et de la Robine - Canal du Midi,"Gros oeuvre, Palplanches",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39759
26-39808,2026-04-20,973,['973'],DGTM GUYANE..........................................................................................................,GBA - RN2 PR84,Glissières de sécurité,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39808
26-39805,2026-04-20,13,"['13', '30', '83']",ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE MARSEILLE,Réaménagement R+4 et R+6 du Pôle Recherche,"Mobilier, Menuiserie",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39805
26-39625,2026-04-20,59,"['59', '62']",MAIRIE D'AUBY,TRAVAUX POUR LA DESIMPERMEABILISATION ET LA VEGETALISATION DES COURS D’ECOLES DU GROUPE SCOLAIRE MARCEL PAGNOL,Espaces verts,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39625
26-39635,2026-04-20,38,['38'],Département de l'Isère,Travaux de réfection d'étanchéité et sécurisation des toitures de la cité Scolaire Internationale Europole,"Couverture, Etanchéité",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39635
26-39664,2026-04-20,62,['62'],Communauté Urbaine d'Arras,Accord-cadre à bons de commande - Travaux de branchements d'assainissement sous domaine public dans diverses rues des communes de la Communauté Urbaine d'Arras,Assainissement,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39664
26-39665,2026-04-20,62,['62'],Communauté Urbaine d'Arras,Accord-cadre à bons de commande - Travaux d'aménagement de quais de bus sur le territoire de la Communauté Urbaine d'Arras,Voirie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39665
26-39838,2026-04-20,92,"['92', '78', '91', '75', '77', '95', '28', '27', '45']",Federation française de Golf,"Travaux de reconstruction du bâtiment technique d'entretien des parcours (BATEP) du Golf National de Guyancourt.
Procédure adaptée ouverte (MAPA).","Tous corps d'état, Bâtiment, Terrassement, Génie civil, Equipement industriel",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39838
26-39803,2026-04-20,29,['29'],SID Atlantique,9209 – BASE FUSCO (56) - Stand de tir Nozières 0717 : purge intermédiaire & recomplètements,Dépollution,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39803
26-39841,2026-04-20,82,['82'],Mairie D'Auvillar,Travaux d'aménagement du parc de la propriété Rouillon à Auvillar (82),Espaces verts,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39841
26-39856,2026-04-20,57,"['57', '51', '10', '55', '52', '54', '88', '67', '68']","Direction Régionale de l'Environnement, de l'Aménagement et du Logement Grand Est",Construction Ohg,"Ouvrage d'art, Ouvrage d'infrastructure",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39856
26-39727,2026-04-20,83,['83'],MINARM/SGA/SID/SID MED/SD-AC,"Base Navale de Toulon – Accueil infrastructure MFM (Provisoire) – Acquisition, installation d’une Structure Métallo-Textile (SMT) et travaux TCE",Abris,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39727
26-39733,2026-04-20,17,['17'],Commandement des écoles de la gendarmerie nationale,REFECTION BATIMENT ECOLE ROCHEFORT,"Maçonnerie, Couverture",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39733
26-39754,2026-04-20,94,"['94', '75', '93', '77', '75']",CROUS de Créteil,Travaux de rénovation du restaurant universitaire du Crous du Kremlin-Bicetre Lot3 Menuiserie,Menuiserie,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39754
26-39845,2026-04-20,31,['31'],Reseau 31,Travaux pour le remplacement des pompes de refoulement de Lévignac,Pompes,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39845
26-39674,2026-04-20,75,['75'],CARMF,Travaux d'entretien et de rénovation du patrimoine immobilier de la CARMF,Bâtiment,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39674
26-39700,2026-04-20,09,['9'],Bureau de Recherche en Géologie Minière (Brgm),Travaux de mise en sécurité des dépôts de résidus de traitement de l'ancienne mine de Salau sur la commune de Couflens-Salau (09) Phase n°2,Gros oeuvre,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39700
26-39692,2026-04-20,62,['62'],Mairie de Harnes,Désamiantage et réfection des sols souples à l'école Emile Zola à Harnes,Amiante (désamiantage),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39692
26-39632,2026-04-20,92,['92'],Hauts-de-Seine Habitat - OPH,MARCHE DE TRAVAUX DE FOURNITURE ET POSE D'ENSEMBLE DE MENUISERIES EN METAL DANS LES PARTIES COMMUNES ET D'AMENAGEMENT DU DALLAGE DES ENTREES,Menuiserie,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39632
26-39784,2026-04-20,59,['59'],Centre hospitalier de Valenciennes (pouvoir adjudicateur),DÉPÔT D’ATTELLES-ORTHÈSES - SERVICES DES URGENCES ET DES CONSULTATIONS EXTERNES - CENTRE HOSPITALIER DE DENAIN,Matériel médical,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39784
26-39623,2026-04-20,35,['35'],Conseil régional de Bretagne,Remplacement et réparation des portes métalliques des écluses des canaux,Ecluse,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39623
26-39842,2026-04-20,39,"['39', '25', '1']",SYNDICAT MIXTE DU HAUT JURA / SYNDICAT INTERCOMMUNAL DES EAUX DU PLATEAU DES ROUSSES,COMMUNE DES ROUSSES - DIMINUTION DES EAUX CLAIRES PARASITES TRANSITANT PAR LE POSTE DE REFOULEMENT DE LA SCIE PAR SUPPRESSION D'UNE ANTENNE ET RENOUVELLEMENT/DÉTOURNEMENT DES CANALISATIONS SECTEUR...,"Station de pompage, Alimentation en eau potable, Assainissement",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39842
26-39662,2026-04-20,74,['74'],Mairie de Morzine,Construction des écuries d'Avoriaz : Ventilation mécanique,Ventilation,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39662
26-39671,2026-04-20,06,['6'],SIEF : Syndicat Intercommunal des Eaux du Foulon,TRAVAUX D’ENTRETIEN DES ESPACES VERTS DU CANAL ET DES OUVRAGES DU SYSTEME FOULON,Espaces verts,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39671
26-39619,2026-04-20,974,['974'],CIVIS,Construction de l'unité de traitement d'eau potable de Mélina - lot n°3 : mise en place d'une turbine hydro électrique.,"Alimentation en eau potable, Ouvrage hydraulique",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39619
26-39706,2026-04-20,18,['18'],Syndicat départemental d'énergie du Cher (SDE 18),Travaux de géothermie des locaux du SDE 18,"Géothermie, Chauffage (travaux), Forage",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39706
26-39742,2026-04-20,49,['49'],CHU ANGERS,DTEM2026-84MAPA_TERRASSE_CHU,Etanchéité,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39742
26-39715,2026-04-20,83,['83'],MINARM/SGA/DCSID/SID-MED/SD-AC,STM – CDOH – Marché de travaux pour la rénovation de la chaufferie FOD du bâtiment QUENTEL,Chauffage (travaux),Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39715
26-39703,2026-04-20,54,['54'],Cc du Bassin de Pont à Mousson,Construction d'une crèche de 35 places à Atton,Gros oeuvre,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39703
26-39804,2026-04-20,31,['31'],Toulouse INP,Travaux de rénovation des espaces d’expérimentation Hydrogène (020) et G. Darrieus (010/011/012) de l’IMFT,"Electricité (travaux), Plomberie (travaux), Peinture (travaux), Chauffage (travaux)",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39804
26-39769,2026-04-20,75,['75'],CHANCELLERIE DES UNIVERSITES DE PARIS,"TRAVAUX D’ENTRETIEN COURANT DE PEINTURE, DE VITRERIE, DE MAÇONNERIE ET DE REVÊTEMENTS DES SOLS","Peinture (travaux), Maçonnerie, Revêtements de sols",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39769
26-39843,2026-04-20,75,['75'],VILLE de PARIS - DFA - SDA,Travaux de pose et de dépose de supports d'horodateurs implantés sur la voie publique à Paris,"Horodateur, Voirie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39843
26-39849,2026-04-20,92,['92'],Vallée Sud - Grand Paris (92),"Travaux de dévoiement des conduites d’assainissement sous les voies SNCF/RATP, chemin Latéral et rue des Garennes à Antony","Assainissement, Voirie et réseaux divers",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39849
26-39145,2026-04-19,11,['11'],SPL ARAC OCCITANIE,"Dépollution du terrain destiné à la construction de la médiathèque centrale de Carcassonne
Marché travaux - Lot unique « Travaux de dépollution des sols »","Dépollution, Terrassement",Marchés européens,Procédure Ouverte,Résultat de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39145
26-39457,2026-04-19,25,"['25', '54', '67', '68', '90']",GHR MULHOUSE ET SUD ALSACE,Marché global de performance énergétique pour la Décarbonation de la production de chaleur fioul vers biomasse Centre Hospitalier de Sierentz,"Chauffage (exploitation, entretien), Chauffage (travaux), Etude",Marchés européens,Procédure Négociée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39457
26-39588,2026-04-19,38,['38'],Département de l'Isère,Travaux de terrassement et de soutènement en vue de la stabilisation des talus amont et aval du réseau routier départemental de l'Isère et de ses dépendances,"Mur de soutènement, Terrassement",Marchés européens,Procédure Ouverte,Résultat de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39588
26-39276,2026-04-19,67,['67'],Eurométropole de Strasbourg,Marché Global de Performance relatif à la rénovation énergétique du bâtiment « Archives » de la ville et de l'Eurométropole de Strasbourg,"Maintenance, Tous corps d'état",Marchés européens,Procédure Dialogue compétitif,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39276
26-39408,2026-04-19,974,['974'],SPL Grand Ouest (974),"Travaux de réalisation du Pôle vélo, glisse urbaine et village des initiatives sur le Territoire de l'Ouest (commune de Saint-Paul)","Charpente, Eclairage public, Electricité (travaux), Plomberie (travaux), Voirie et réseaux divers",Marchés européens,Procédure Ouverte,Résultat de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39408
26-39428,2026-04-19,95,['95'],Région Ile de France,Construction d’un bâtiment mixte au Lycée professionnel du Vexin 2 rue Jean Hamon Chars (95750),"Bâtiment, Electricité (travaux), Gros oeuvre, Menuiserie, Voirie",Marchés européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39428
26-39241,2026-04-19,30,['30'],Alès Agglomération,Procédure formalisée avec négociation / Travaux de construction de la station d'épuration de La Grand'Combe et de raccordement de Cendras et La Favède / Phase candidature,Station d'épuration (travaux),Marchés européens,Procédure Négociée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39241
26-39390,2026-04-19,69,"['69', '83']",HOSPICES CIVILS DE LYON - Etalissement support du GHT VAL RHONE CENTRE - Direction des achats,ACCORD CADRE T26_4501 MAINTENANCE FOURNITURES ET TRAVAUX DES INSTALLATIONS DE GESTION TECHNIQUE CENTRALISEE ETS DES HCL ET DEPT DU VAR ET GCS BLANCHISSERIE (BIH) LOT 1 PC VUE - LOT 3 GTC TREND,"Electricité, gaz (fourniture), Maintenance, Télégestion",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39390
26-39256,2026-04-19,75,['75'],Ville de Paris - DFA- SDA,Travaux de construction des pavillons du square de L'île de France,Bâtiment,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39256
26-39329,2026-04-19,14,['14'],Communauté de communes du Pays de Falaise,Marché n°2025-13 : Restructuration d'un ancien site industriel à Falaise,Espaces verts,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39329
26-39282,2026-04-19,78,['78'],MAIRIE DE SAINT CYR L'ECOLE,"Travaux d'entretien, de grosses réparations, de rénovation et de construction des bâtiments communaux.","Electricité (travaux), Peinture (travaux), Plomberie (travaux), Gros oeuvre, Etanchéité, Couverture, Charpente, Ravalement, Revêtements de sols, Ventilation, Maçonnerie",Marchés européens,Procédure Ouverte,Avis de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39282
26-39532,2026-04-19,31,['31'],Ville de Toulouse,26V0041AOO - TRAVAUX DE CONSTRUCTION DE LA CITE DE LA DANSE-VA/VP,Bâtiment,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39532
26-39482,2026-04-19,75,"['75', '77', '78', '91', '92', '93', '94', '95']",Préfecture de Police de Paris,Travaux pour la construction du nouveau commissariat d’Aulnay-sous-Bois et de la Compagnie de Sécurisation et d’Intervention du 93 (CSI 93),"Electricité (travaux), Gros oeuvre, Plomberie (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39482
26-39302,2026-04-19,28,"['28', '27', '78', '45']",CA du Pays de Dreux,Travaux de rénovation de la toiture et d'isolation des combles de l'ALSH de la Grande Noue à Châteauneuf-en-Thymerais et installation de panneaux photovoltaïques,"Couverture, Photovoltaïque, Isolation",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39302
26-39225,2026-04-19,44,['44'],Ville de Trignac,Marché Accord-Cadre d'Entretien de voirie,Voirie,Marchés européens,Procédure Ouverte,Avis de marché,3,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39225
26-39250,2026-04-19,67,['67'],Ville de Strasbourg,"Accord-cadre pour des Travaux Tous Corps d'Etat Energie (TC2E) sur des bâtiments de compétence de la Ville de Strasbourg, de l'Eurométropole de Strasbourg, et de l'OEuvre Notre Dame",Tous corps d'état,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39250
26-39536,2026-04-19,42,['42'],Département de la Loire,Réalisation d'enduits superficiels sur les routes départementales de la Loire,Voirie,Marchés européens,Procédure Ouverte,Résultat de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39536
26-39310,2026-04-19,91,['91'],SIAVB,Travaux de restauration hydromorphologique de la Bièvre -  Secteur « Le Salvart »,Rivières/ruisseaux,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39310
26-39264,2026-04-19,49,['49'],DÉPARTEMENT DE MAINE ET LOIRE,"Travaux de réparation, d'entretien, d'amélioration et d'aménagement dans les collèges publics et les bâtiments occupés par les services du Département et du SDIS de Maine-et-Loire - Relance du lot...","Porte automatique, portail, Bâtiment",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39264
26-39562,2026-04-19,18,['18'],Syndicat du Canal de Berry (18),REALISATION DES SECTEURS 8 ET 9 DE LA PHASE 2 DE L’ITINERAIRE CŒUR DE FRANCE A VELO SUR LE CANAL DE BERRY (18),"Voirie et réseaux divers, Signalétique, Espaces verts, Ouvrage d'infrastructure, Mobilier urbain",Marchés européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39562
26-39238,2026-04-19,63,['63'],Département du Puy-de-Dôme,TRAVAUX D'OUVRAGES D'ART DESTINES A L'ENTRETIEN ET AUX PETITS INVESTISSEMENTS SUR LES ROUTES DEPARTEMENTALES DU PUY-DE-DOME,Ouvrage d'art,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39238
26-39543,2026-04-19,76,['76'],Metropole Rouen Normandie,Requalification de la RD7 sur les communes de Cléon et Saint Aubin-lès-Elbeuf,Voirie et réseaux divers,Marchés européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39543
26-39534,2026-04-19,42,['42'],Département de la Loire,Réparation des ouvrages d'art des routes départementales de la Loire,"Génie civil, Ouvrage d'art",Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39534
26-39103,2026-04-19,971,['971'],Région Guadeloupe,RN1 - REPARATION DU PONT DE LA GABARRE : REPARATION ET RENFORCEMENT DU TABLIER,Génie civil,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39103
26-39541,2026-04-19,59,['59'],Conseil Départemental du Nord,Création d'un giratoire à l'intersection de la RD 8 (PR 19+618) et de la RD 917 (PR 15+634) sur le territoire de la commune de Râches,Voirie et réseaux divers,Marchés européens,Procédure Ouverte,Avis de marché,3,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39541
26-39566,2026-04-19,75,['75'],Société d'Exploitation de la Tour Eiffel,Reprise de résine,Revêtements de sols,Marchés européens,Procédure Ouverte,Avis de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39566
26-38919,2026-04-18,87,['87'],VILLE DE LIMOGES,NPNRU Gérard Philipe - Restructuration du groupe scolaire,Travaux de viabilité,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38919
26-38892,2026-04-18,69,"['69', '1']",HOPITAL NORD OUEST - VILLEFRANCHE SUR SAONE,"TRAVAUX D'ENTRETIEN, REPARATIONS COURANTES, GROSSES REPARATIONS, AGENCEMENTS, AMENAGEMENTS INTERIEURS DES BATIMENTS
LOTS 6-1, 6-2 ET 6-3 -TRAVAUX DE PLATRERIE - PEINTURE - CLOISONS - ISOLATION - SO...","Peinture (travaux), Plâtrerie, Revêtements de sols",Marchés européens,Procédure Ouverte,Résultat de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38892
26-39029,2026-04-18,69,['69'],GRANDLYON Métropole,Travaux sur les biens immobiliers de la Métropole de Lyon - Lot 9 Métallerie Serrurerie,"Ferronnerie, Métallerie, Serrurerie",Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39029
26-39093,2026-04-18,973,['973'],"Centre Hospitalier de Cayenne ""Andrée ROSEMON""",CONSTRUCTION DU CENTRE DELOCALISE DE PREVENTION ET DE SOINS (CDPS) ET DE 5 LOGEMENTS DE FONCTION A APATOU,Bâtiment,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39093
26-38941,2026-04-18,88,['88'],Conseil Départemental des Vosges,Travaux de renforcement de rives et de chaussées-.,Ouvrage d'infrastructure,Marchés européens,Procédure Ouverte,Résultat de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38941
26-38975,2026-04-18,26,['26'],Département de la Drôme,Restructuration du collège Gustave Monod à Montélimar,"Gros oeuvre, Chauffage (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38975
26-39064,2026-04-18,74,['74'],Syndicat Mixte du Lac d'Annecy,"Voie Verte du Lac d'Annecy - Travaux d'élargissement de la voie verte en rive ouest entre Sevrier et Doussard (15 km) - Tranches 3, 4 & 5 - Route des Grands Prés (Sevrier) - PK 12.8 (Duingt)",Voirie,Marchés européens,Procédure Ouverte,Résultat de marché,2,True,True,voie verte,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39064
26-38999,2026-04-18,91,['91'],Setec Organisation au nom et pour le compte dIle de France Mobilités,"Tramway T7 - Dépose, stockage, rénovation et repose du portail du Parc de la Mairie de Juvisy-Sur-Orge","Porte automatique, portail",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38999
26-39003,2026-04-18,34,['34'],Société d'Aménagement de Montpellier Méditerranée Métropole,"Construction de l'Hôtel des sécurités, Parc 2000 2e extension, à Montpellier",Bâtiment,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39003
26-38907,2026-04-18,69,"['69', '38', '1']",Région Auvergne-Rhône-Alpes,Travaux d'entretien dans le cadre de la réalisation de projet d'infrastructures de transport,Espaces verts,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38907
26-38916,2026-04-18,77,['77'],GHSIF ETABLISSEMENT SUPPORT DU GHTSUD77,Travaux de remplacement des installations de production de froid bâtiment SERAMY,Gros oeuvre,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38916
26-38947,2026-04-18,42,['42'],Département de la Loire,Travaux de dispositifs de retenues métalliques ou en béton sur les routes départementales de la Loire,Glissières de sécurité,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38947
26-38952,2026-04-18,31,['31'],Toulouse Métropole,26M0133AOO-Restructuration des ateliers du Sang de Serp,"Electricité (travaux), Matériaux de construction, Menuiserie, Peinture (travaux), Prestations de services",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38952
26-38932,2026-04-18,29,['29'],Quimper Bretagne Occidentale,Renouvellement réseaux AEP – Route de Kervoa (Guengat) & Route de la Gare de Guengat (Plogonnec),Alimentation en eau potable,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-38932
