idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,url_avis
26-33305,2026-04-01,42,['42'],Département de la Loire,Travaux de rénovation du plateau sportif et des voiries de desserte au collège Aristide Briand à Saint-Etienne,Voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-33305
26-33515,2026-04-01,54,['54'],Ville de Dombasle-sur-Meurthe,Remplacement de la toiture des bâtiments du pôle technique,"Couverture, Amiante",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33515
26-33661,2026-04-01,976,['976'],Ville de Bouéni (976),TRAVAUX DE RENOVATION DU GROUPE SCOLAIRE DE BAMBO OUEST DE LA COMMUNE DE BOUENI,Tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33661
26-33378,2026-04-01,54,"['54', '88', '57', '55']",SLIM PROJETS,Travaux d'aménagement des abords de l'îlot B1C - ZAC AUSTRASIE,"Terrassement, Ouvrage hydraulique, Voirie, Voirie et réseaux divers",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,3,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-33378
26-33652,2026-04-01,30,['30'],Centre Hospitalier Universitaire de Nîmes,Réaménagement du niveau -1 du pavillon 3 sur le site de Caremeau - Travaux de désamiantage,Amiante (désamiantage),Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33652
26-33657,2026-04-01,82,['82'],MAIRIE DE LAFRANCAISE,"Marché de travaux de restructuration d'un immeuble en centre-bourg en dix logements
d'habitat inclusif - Relance 2 Lot 1 VRD",Voirie et réseaux divers,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-33657
26-33568,2026-04-01,77,"['77', '91', '45']",CA DU PAYS DE FONTAINEBLEAU,TRAVAUX DE RÉNOVATION DE L'ÉCLAIRAGE DE TERRAINS DE SPORTS DE LA COMMUNAUTÉ D'AGGLOMÉRATION DU PAYS DE FONTAINEBLEAU,"Eclairage public, Electricité (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33568
26-32964,2026-04-01,44,['44'],"SEMITAN, mandataire de Nantes Métropole","MTB03 - Charpente métallique pour l'opération Vertonne 1 Bis, extension de Cetex et remisage bus électriques",Charpente,Marchés européens,Procédure Négociée,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32964
26-32823,2026-04-01,44,['44'],Ville de Trignac,Marché Accord-Cadre d'Entretien de voirie,Voirie,Marchés européens,Procédure Ouverte,Avis de marché,3,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-32823
26-32889,2026-04-01,62,['62'],Centre Hospitalier de Lens,2026-035 - Travaux de réhabilitation du plateau de consultation du bâtiment principal du Centre hospitalier de Béthune Beuvry,"Etanchéité, Gros oeuvre, Menuiserie, Peinture (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32889
26-32953,2026-04-01,34,['34'],Mairie d'Agde,AMENAGEMENT DU CENTRE SOCIO CULTUREL VICTOR LACHAUD,"Electricité (travaux), Menuiserie, Plomberie (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32953
26-32988,2026-04-01,74,['74'],Département de la Haute-Savoie,Travaux d'entretien et d'aménagement sur les bâtiments du Département de la Haute-Savoie - Lot ABCD8 : Etanchéité Tous secteurs,Etanchéité,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32988
26-32927,2026-04-01,13,"['13', '4']",Ville de Marseille,Travaux de réhabilitation et transformation du Groupe Scolaire Eugène Cas à Marseille,Chauffage (travaux),Marchés européens,Procédure NC,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32927
26-33290,2026-04-01,07,"['7', '26', '38', '69']",Syndicat Départemental d'Energies de l'Ardèche,Accord-cadre de conception-réalisation de réseaux IoT,Réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33290
26-33296,2026-04-01,69,['69'],La Régie Eau du Grand Lyon,Travaux de renouvellement de la conduite d'eau potable _ Caluire et Cuire,Canalisations,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33296
26-33658,2026-04-01,34,['34'],Ville de Balaruc-Les-Bains,Rénovation des installations de chauffage du gymnase Pech Meja,"Chauffage (travaux), Equipement thermique, Ventilation",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33658
26-33628,2026-04-01,79,"['79', '17', '16', '85']",CNRS - Délégation régionale Aquitaine,"Travaux de rénovation energétique du bâtiment ""atelier"" sur le site du Centre d'Etudes Biologiques de Chizé à Villiers-en-Bois (79)","Cloison, faux plafond, Chauffage (travaux), Electricité (travaux), Terrassement, Couverture, Charpente, Isolation, Menuiserie, Gros oeuvre",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33628
26-33388,2026-04-01,52,['52'],Communauté d'agglomération Grand Saint-Dizier Der et Vallées,Travaux d’amélioration de la sectorisation des réseaux d’eau potable-.,Ouvrage d'infrastructure,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33388
