idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,source_cyclable,alerte_l228,url_avis
26-45225,2026-05-06,25,['25'],UNIVERSITE MARIE ET LOUIS PASTEUR,Location de bâtiment provisoire pour le service de santé des étudiants (SSE),bâtiments modulaires,Marchés européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45225
26-44840,2026-05-06,06,['6'],Mairie de Cannes,"Marché de travaux pour la rénovation urbaine « NPRU de la Nouvelle Frayère » à Cannes, périmètres « Coeur de Frayère » RELANCE LOT 13CVC","bâtiment, chauffage (travaux), ventilation",Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-44840
26-44843,2026-05-06,04,['4'],Ville de Manosque,"TRAVAUX DE BRANCHEMENTS, ENTRETIEN, REPARATIONS, RENOUVELLEMENT ET EXTENSION DES RESEAUX D'EAU POTABLE ET D'ASSAINISSEMENT SUR LE POLE VERDON",réseaux divers,Marchés européens,Procédure Ouverte,Résultat de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-44843
26-44964,2026-05-06,974,['974'],MAIRIE DE SAINT LOUIS,AMENAGEMENT DU SECTEUR KAYAMB - PHASE 1 DANS LE CADRE DU NPNRU DU GOL,eclairage public,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-44964
26-44998,2026-05-06,976,['976'],ALEFPA (976),Marché public de travaux - POLE MEDICO-SOCIAL ET SOCIAL ANTANA BE,"gros oeuvre, terrassement, voirie et réseaux divers",Marchés européens,Procédure Ouverte,Résultat de marché,2,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-44998
26-45516,2026-05-06,78,['78'],Commune De Chateaufort,Marché public de travaux de restauration du donjon pour la commune de Châteaufort (78),"maçonnerie, menuiserie, electricité (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45516
26-45668,2026-05-06,59,"['59', '60', '62', '80']",UNIVERSITE DE LILLE,"Remplacement du SSI, des volets et des clapets coupe-feu du bâtiment SH3 du campus Cité scientifique de l'Université de Lille","electricité (travaux), sécurité incendie, ventilation",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45668
26-45812,2026-05-06,25,['25'],Pays De Montbeliard Agglomeration,Travaux de redimensionnement de la station d'épuration de Blamont,station d'épuration (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45812
26-45817,2026-05-06,63,['63'],Département du Puy-de-Dôme,Travaux D'Aménagement En Traverse D'Agglomération Rd 996 du Pr 57+765 au Pr 58+015 et du Pr 58+300 au Pr 58+570 - Commune de Perrier,"voirie, voirie et réseaux divers",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-45817
26-45755,2026-05-06,38,['38'],Département de l'Isère,Rd 502-518 - Aménagement du carrefour de l'Escale sur la commune de Saint-Jean-de-Bournay,"voirie, terrassement",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-45755
26-45820,2026-05-06,05,['5'],Département des Hautes-Alpes,Rd 985a- Pr 15+650 - Commune de la Chapelle-en-Valgaudemar - Protection de berge sur le site de l'Oratoire aval,"berge, enrochements",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45820
26-45923,2026-05-06,40,"['40', '64']",CCAS CAPBRETON,TRAVAUX CLIMATISATION,climatisation,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45923
26-45727,2026-05-06,44,['44'],Ville De Saint Nazaire,Accord cadre de travaux maritimes et subaquatiques,travaux sous-marins,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45727
26-45885,2026-05-06,14,['14'],Commune De Bayeux,Travaux de mise en accessibilité,"menuiserie, plomberie (travaux), signalisation",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45885
26-45642,2026-05-06,72,['72'],Département de la Sarthe,Prestations De Curage De Fosses Et De Derasements D'Accotements Sur Les Routes Departementales De La Sarthe,"curage, busage",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45642
26-46024,2026-05-06,973,['973'],Collectivite Territoriale De Guyane,Travaux de réhabilitation du collège Just Hyasine à Macouria,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-46024
26-44771,2026-05-06,33,['33'],Commune de Talence,Travaux de réhabilitation du groupe scolaire Albert Camus,bâtiment,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-44771
26-45015,2026-05-06,06,['6'],Pays de Grasse Developpement,"MARCHE DE TRAVAUX ALLOTI / ZAC MARTELLY / GARAGE "" ROLLAND """,gros oeuvre,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45015
26-45037,2026-05-06,54,['54'],Conseil départemental Meurthe et Moselle,Aménagement de la véloroute V52 entre Maron et Lay-Saint-Rémy - Tranche 4.2,voirie et réseaux divers,Marchés européens,Procédure Ouverte,Avis de marché,2,True,True,véloroute,titre,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45037
26-45081,2026-05-06,13,['13'],SACOGIVA,"Accord-cadre à bons de commande pour la réalisation de travaux d'entretien, de ravalement et d'isolation en façades",ravalement,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45081
26-45132,2026-05-06,13,['13'],Conseil Départemental des Bouches-du-Rhône,Aménagement du giratoire Les travaux concernent la création d'un giratoire au carrefour entre la RD7n et la RD56c sur la commune de Rousset au lieudit La Bégude - 3 lots.,"voirie, voirie et réseaux divers",Marchés européens,Procédure Ouverte,Avis de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-45132
26-45199,2026-05-06,07,"['7', '12', '15', '34', '43', '48', '63']",DIR INTERDEP ROUTES MASSIF CENTRAL,Travaux de confortement d'un glissement de terrain à St-Julien-d'Arpaon,"enrochements, matériaux routiers, mur de soutènement, ouvrage d'infrastructure",Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45199
26-45607,2026-05-06,13,['13'],Université d'Aix-Marseille,Opération de travaux relative à la réhabilitation de la maison du Méridien site du Leverrier,"electricité (travaux), espaces verts, etanchéité, maçonnerie, peinture (travaux), plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45607
26-45835,2026-05-06,74,['74'],"EPA LA MASSE DES DOUANES, représenté par son mandataire SEMCODA",TRAVAUX DE REHABILITATION ET DES RESEAUX SANITAIRES A LA CITE DES DOUANES DE CORNIERES (74),sanitaire,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45835
26-45832,2026-05-06,59,['59'],CPAM de Roubaix-Tourcoing,Travaux de Remplacement des équipements de production de froid du CEIR de la CPAM de Roubaix-Tourcoing,"ventilation, equipement thermique, climatisation",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45832
26-45764,2026-05-06,75,['75'],Sénat,Remplacement de trois menuiseries d'art,menuiserie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45764
26-45752,2026-05-06,62,['62'],Conseil Départemental du Pas-de-Calais,Mise en accessibilité et travaux de rénovation du collège Paul Verlaine à Saint Nicolas lez Arras,"gros oeuvre, couverture, menuiserie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45752
26-45858,2026-05-06,39,"['39', '1', '25']",Parc naturel régional du Haut-jura,"Travaux des restauration
Lot 1 Restauration écomorphologique de la Bienne au droit de l'ancienne marbrerie - Chassal-Molinges
Lot 2 Restauration écologique du Bief de Crêta et de ses ZH - Choux",rivières/ruisseaux,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45858
26-45698,2026-05-06,13,['13'],Centre Hospitalier Valvert,Rehabilitation Du Pavillon Des Lavandes Au Centre Hospitalier Valvert,gros oeuvre,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45698
26-45900,2026-05-06,08,['8'],Commune de Villers-Semeuse,CONSTRUCTION D UN POLE ELEMENTAIRE A VILLERS-SEMEUSE-.,tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45900
26-45695,2026-05-06,67,['67'],Eurométropole de Strasbourg,"Accord-cadre pour la réalisation de travaux de désamiantage, dépollution et déconstruction de bâtiments de l'Eurométropole de Strasbourg et de l'oeuvre Notre-Dame","démolition, dépollution, amiante (désamiantage)",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45695
26-45707,2026-05-06,95,['95'],Mairie de Saint-Prix,CREATION ET ENTRETIEN D'ESPACES VERTS,"espaces verts, serre",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45707
26-45587,2026-05-06,24,['24'],Département de la Dordogne,Travaux de mise aux normes du Système de Sécurité Incendie (Ssi) de deux collèges,sécurité incendie,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45587
26-45595,2026-05-06,95,['95'],Commune d'Eragny sur Oise,Réaménagement de la rue Roger Guichard,voirie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-45595
26-45596,2026-05-06,18,['18'],GHT DU CHER dont l'établissement support est le CH Jacques Coeur,RESTRUCTURATION DU SYSTEME DE CHAUFFAGE DU CENTRE HOSPITALIER GEORGE SAND A CHEZAL BENOIT - LOT N°2 : DEPLOMBAGE,amiante (désamiantage),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45596
26-45779,2026-05-06,54,['54'],Université de Lorraine,Travaux de mise en conformité SSI et désenfumage IECA Nancy,sécurité incendie,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45779
26-45569,2026-05-06,53,['53'],Commune De Soulgé-Sur-Ouette,Requalification de la rue de Beausoleil à Soulgé-sur-Ouette (53),"voirie et réseaux divers, espaces verts, assainissement",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-45569
26-45838,2026-05-06,64,['64'],Foncière médico-sociale ÉNEAL,RÉALISATION DE TRAVAUX DE REHABILITATION à la Résidence « A NOSTE LE GARGALE » à BOUCAU  - Relance du Lot 9,plomberie (travaux),Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45838
26-45874,2026-05-06,17,['17'],Ville de Surgères,Travaux d'extension d'un dispositif de vidéoprotection (densification de la vidéoprotection aux abords de la Gare - Pôle d'Echanges Multimodal (Pem)),matériel de sécurité,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45874
26-45957,2026-05-06,95,['95'],Spl Cergy Pontoise Aménagement,Travaux d'aménagement du secteur Est de la Plaine des Linandes (95),"voirie et réseaux divers, espaces verts",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,2,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-45957
26-45947,2026-05-06,64,['64'],Ville Billere,Travaux De Menuiseries Exterieures,"ferronnerie, menuiserie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45947
26-45951,2026-05-06,76,['76'],Commune de Bois-Guillaume,Réaménagement de la cour d'école Coty,"terrassement, aire de jeux",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,1,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45951
26-45116,2026-05-06,59,['59'],Communauté Urbaine de Dunkerque,EQUIPEMENTS DES POSTES DE RELEVEMENT DU SYSTEME D'ASSAINISSEMENT DU TERRITOIRE COMMUNAUTAIRE (3 LOTS),"assainissement, equipement hydraulique, pompes",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45116
26-45234,2026-05-06,95,['95'],Région Ile de France,Construction d’un bâtiment mixte au Lycée professionnel du Vexin 2 rue Jean Hamon Chars (95750),"bâtiment, electricité (travaux), gros oeuvre, menuiserie, voirie",Marchés européens,Procédure Ouverte,Avis de marché,-2,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45234
26-44846,2026-05-06,47,['47'],CH AGEN-NERAC,Travaux de rafraichissement au CH de Penne d'Agenais,climatisation,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-44846
26-45205,2026-05-06,92,['92'],Commune de Saint-Cloud,Entretien des espaces verts (lot 2: travaux neufs),espaces verts,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45205
26-45532,2026-05-06,24,['24'],Département de la Dordogne,Rénovation de l'escalier de la grotte du Grand-Roc aux Eyzies-de-Tayac-Sireuil,serrurerie,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45532
26-45546,2026-05-06,84,['84'],Département de Vaucluse,Travaux de menuiseries bois sur le patrimoine départemental y compris les Etablissements Publics Locaux d'Enseignement (EPLE),menuiserie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45546
26-45604,2026-05-06,71,['71'],SPL SUD BOURGOGNE AMENAGEMENT,TRVXSTBERAIN-LOTS-5-8-9 | Marché de travaux pour la création d'une micro-crèche et la réhabilitation thermique de l'aile Est de la résidence des 3 chênes pour lots 5 - 8 - 9 - CONSULTATION 2,"chauffage (travaux), electricité (travaux), mobilier, plomberie (travaux), ventilation",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45604
26-45606,2026-05-06,59,"['59', '60', '62', '80']",UNIVERSITE DE LILLE,Travaux de remplacement du système de sécurité incendie et des clapets coupe-feu du bâtiment SH3 sur le campus de la cité scientifique de Villeneuve d'Ascq.,"climatisation, electricité (travaux), serrurerie, sécurité incendie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45606
26-45531,2026-05-06,27,['27'],Eure Amenagement Developpement,"Marché de travaux pour l'Aménagement de l'Ecole primaire Paul Delabre, Eure Amenagement Developpement, Mandataire de la Commune de Beuil",gros oeuvre,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45531
26-45591,2026-05-06,36,"['36', '37', '41', '45', '49', '53', '72', '86']",UC-IRSA,Réfection de l'étanchéité de toitures terrasses et pose de garde-corps Travaux,etanchéité,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45591
26-45793,2026-05-06,57,['57'],Université de Lorraine,Travaux de mise en conformité SSI et désenfumage IECA Nancy,sécurité incendie,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45793
26-45672,2026-05-06,74,['74'],Commune d'Epagny Metz-Tessy,Accord cadre de travaux courant de voirie et réseaux divers (Vrd),voirie,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-45672
26-45684,2026-05-06,59,['59'],Centre Hospitalier De Dunkerque,Réhabilitation thermique et travaux d'embellissement de l'Ifsi du Centre Hospitalier de Dunkerque - Hôpital Alexandra Lepève,tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45684
26-45735,2026-05-06,21,['21'],Ville d&#039;Auxonne,Travaux de voirie,voirie,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-45735
26-45638,2026-05-06,13,['13'],Mairie De Lancon-Provence- Hôtel de Ville,Rénovation et mise aux normes de la Crèche des Pinsons,"bâtiment, curage, gros oeuvre, plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45638
26-45730,2026-05-06,45,['45'],Bureau de Recherche en Géologie Minière (Brgm),"Réalisation de six piézomètres destinés à suivre les fluctuations des nappes du plio-quaternaire, du miocène, de l'oligocène et du paléocène en Gironde (33)",forage,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45730
26-45940,2026-05-06,91,['91'],Commune d'évry-Courcouronnes,Travaux de rénovation des systèmes d'alarmes intrusions,"alarme, matériel de sécurité",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45940
26-45941,2026-05-06,65,['65'],Ville de Bagnères de Bigorre,Travaux de mise en séparatif du réseau d'assainissement des eaux usées Programme 2026-2027,assainissement,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45941
26-45967,2026-05-06,02,['2'],SYNDICAT DES EAUX DU SOISSONNAIS ET DU VALOIS,Fourniture et pose de clôtures autour des ouvrages AEP-.,ouvrage d'infrastructure,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45967
26-45096,2026-05-06,90,['90'],Communauté d'Agglomération Grand Belfort,Aménagement et maintenance des espaces publics,"voirie, voirie et réseaux divers",Marchés européens,Procédure Ouverte,Avis de marché,2,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-45096
26-45193,2026-05-06,06,['6'],VILLE DE NICE,25V1141. Travaux d'étanchéité des bassins et fontaines de la ville de Nice,"ouvrage hydraulique, bassin, étang, etanchéité, fontainerie",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45193
26-45252,2026-05-06,76,['76'],CROUS Normandie,Marché de travaux de réhabilitation du bâtiment Jehan ANGO de la Résidence Panorama – Site de Mont Saint Aignan CROUS NORMANDIE,tous corps d'état,Marchés européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-45252
