idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,source_cyclable,alerte_l228,url_avis
26-53304,2026-06-01,59,"['59', '62']",COMMUNE DE GRAVELINES,"MODERNISATION DU PÔLE BASKET ""SPORTICA NOUVELLE GÉNÉRATION"" - LOT 16 MACHINERIE ET SERRURERIE SCÈNIQUE","matériel scénique, serrurerie",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53304
26-53325,2026-06-01,73,['73'],Département de la Savoie,Travaux De Construction Du Centre Routier Departemental (Crd) De Voglans (73),bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53325
26-53397,2026-06-01,57,['57'],Mairie de Yutz,Travaux de peinture,peinture (travaux),Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53397
26-53373,2026-06-01,75,['75'],VILLE de PARIS - DFA - SDA,Travaux de rénovation de la passerelle Jim Morrison (anciennement Mornay) à Paris 4e,"peinture (travaux), passerelle",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53373
26-53438,2026-06-01,44,"['44', '49', '85']",Commune d'Ancenis-Saint-Géréon,Travaux de signalisation horizontale et prestations associées,signalisation,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53438
26-53482,2026-06-01,75,"['75', '78', '92', '95']",Ville du Pecq,Travaux de réaménagement de l’école maternelle Joséphine Baker,"charpente, couverture, démolition, electricité (travaux), gros oeuvre, menuiserie, peinture (travaux), plomberie (travaux), revêtements de sols, voirie et réseaux divers",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53482
26-53487,2026-06-01,71,['71'],REGION BOURGOGNE FRANCHE COMTE,Lycée EPLEFPA de FONTAINES (71) Site Internat – LPA CHAROLLES - Réfection partielle des réseaux ECS du bâtiment INTERNAT,plomberie (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53487
26-53536,2026-06-01,84,['84'],Spl Territoire 84,Travaux de réhabilitation du Gymnase du collège de Bédarrides,equipement sportif,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53536
26-53498,2026-06-01,25,['25'],Grand Besançon Métropole,MARCHE PUBLIC DE TRAVAUX DE RESTRUCTURATION ATELIER EAU ET ASSAINISSEMENT,menuiserie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53498
26-53515,2026-06-01,75,['75'],Oeuvre de la Mie de Pain,Travaux de rénovation et de surélévation d'un foyer d'accueil d'urgence pour femmes en difficulté,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53515
26-53324,2026-06-01,84,['84'],Mairie De Vedene,Travaux et entretien de la voirie communale,voirie,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-53324
26-53305,2026-06-01,59,"['59', '62']",COMMUNE DE GRAVELINES,"MODERNISATION DU PÔLE BASKET ""SPORTICA NOUVELLE GÉNÉRATION"" (RELANCE DU LOT N°15 AUDIOVISUEL ET ÉCLAIRAGE SCÈNIQUE INFRUCTUEUX DE LA CONSULTATION INITIALE 269)",audiovisuel,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53305
26-53286,2026-06-01,40,['40'],Ville de Parentis en Born,Travaux d'Etanchéïté et Blanchiment de toiture du Centre Administratif,isolation,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53286
26-53294,2026-06-01,74,['74'],Communaute De Communes Arve Et Saleve,La présente consultation a pour objet la conclusion d'un accord-cadre pour la réalisation de travaux de pour les itinéraires structurants du schéma directeur cyclable de la Communa,voirie,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,2,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-53294
26-53370,2026-06-01,83,['83'],Communauté de Communes Méditerranée Porte des Maures (83),MISE EN CONFORMITE DES RESEAUX DE CAPTAGE DES EAUX DE PLUIES ET DES EAUX DE LAVAGE DU SITE DE MANJASTRE,voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-53370
26-53409,2026-06-01,08,['8'],Service Achats Responsables,Travaux de reprise technique des concessions funéraires dans les cimetières de la ville de CHARLEVILLE-MEZIERES-.,tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53409
26-53442,2026-06-01,14,"['14', '50', '61']",Commune de Vire Normandie,Travaux de reprise d'emplacements funéraires échues  dans les cimetières de Vire Normandie,"terrassement, cimetière",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,1,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53442
26-53417,2026-06-01,85,['85'],L'AIGUILLON-LA-PRESQU'ÎLE,Entretien voirie,voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-53417
26-53375,2026-06-01,75,['75'],Ville de Paris - SLA 19,"Marché de travaux de mise en accessibilité, création d’un ascenseur, d’une plateforme élévatrice et d’une rampe à l’école élémentaire 16 rue des cheminets - 75019 Paris (Opération n° 202101388)",tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53375
26-53384,2026-06-01,59,['59'],Conseil Départemental du Nord,Accord-cadre mixte de démolition de huttes et de cabanons sur des espaces naturels gérés par le Département du Nord ou propriété du Département,démolition,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53384
26-53310,2026-06-01,71,['71'],CENTRE HOSPITALIER WILLIAM MOREY,Marché Global Sectoriel pour la création d'une extension d'une unité de médecine gériatrique au Centre Hospitalier de Chalon-sur-Saône,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53310
26-53529,2026-06-01,83,['83'],Commune de La Crau,Opérations de retrait des matériaux contenant du plomb et de l'amiante dans le cadre de travaux de réhabilitation et extension du projet de la Villa Tilleul,amiante (désamiantage),Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53529
26-53524,2026-06-01,56,['56'],Conseil Départemental du Morbihan,Rd782 - Le Faouet - Demolition 2 Maisons Avec Une Dependance & 1 Hangar,démolition,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53524
26-53523,2026-06-01,56,['56'],Eau du Morbihan,Travaux de restauration du lit de la rivière Ellé au droit de la prise d'eau de la station de pompage de pont Saint-Yves - Commune de Langonnet,"travaux dans l'eau, rivières/ruisseaux",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53523
26-53411,2026-06-01,06,['6'],Ville d'Antibes (06),Travaux de remplacement du parquet de la salle Salusse Santoni au Stade Foch,revêtements de sols,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,-2,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53411
26-53400,2026-06-01,30,['30'],Ville d'Alès,Restauration des façades de l’Église de Rochebelle à Alès,"maçonnerie, echafaudage, vitraux, vitrerie, menuiserie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53400
26-53408,2026-06-01,17,['17'],Eau17 (17),Travaux de renouvellement des réseaux d’assainissement collectif et renouvellement des réseaux d’eau potable  de la commune de St Just Luzac (17320).,"alimentation en eau potable, assainissement",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53408
26-53362,2026-06-01,06,['6'],"CD des A-M - Direction de la Construction, de l'Immobilier et du Patrimoine","2026M0024 Travaux de désamiantage, de réhabilitation et de mise en œuvre de menuiseries extérieures aluminium - Collège Albert CAMUS à Mandelieu",amiante (désamiantage),Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53362
26-53353,2026-06-01,17,['17'],Syndicat Départemental de la Voirie (17),FOURNITURE ET POSE D’UNE INSTALLATION PHOTOVOLTAIQUE EN TOITURE TERRASSE SUR BACS LESTES SUR LE SITE DU SIEGE DU SYNDICAT DEPARTEMENTAL DE LA VOIRIE 17,electricité (travaux),Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53353
26-53466,2026-06-01,16,['16'],Communauté d’agglomération de GrandAngoulême,Travaux de réhabilitation du pentaglisse de l'espace ludique extérieur du Centre Aquatique Nautilis,piscine,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53466
26-53430,2026-06-01,17,['17'],SDIS (17),MARCHE DE TRAVAUX DE PLOMBERIE – CHAUFFAGE – VENTILATION SUR DIFFERENTS SITES DU SDIS 17,"chauffage (travaux), plomberie (travaux), ventilation",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53430
26-53320,2026-06-01,62,['62'],Ville d'OUTREAU,Travaux funéraires au cimetière du centre,cimetière,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53320
26-53299,2026-06-01,30,['30'],Conseil départemental du Gard,Travaux de rénovation des galets de guidage et joints des vannes segments du barrage de Sénéchas et remplacement des capteurs de fin de course des vannes,barrage,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53299
26-53537,2026-06-01,13,['13'],Etablissement public foncier Paca,Travaux de sécurisation d'un bâtiment à Marseille (13001),bâtiment,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53537
26-53510,2026-06-01,976,['976'],Les Eaux de Mayotte (976),"TRAVAUX DE RÉNOVATION DU BÂTIMENT D'EXPLOITATION DE LA STATION D'ÉPURATION DE DEMBENI  - Lot 1 VRD, AMENAGEMENT EXTÉRIEUR","réseaux divers, station d'épuration (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53510
26-53386,2026-06-01,976,['976'],Edm électricité de Mayotte,Remplacement système de production d'eau déminéralisé,equipement industriel,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53386
26-53323,2026-06-01,74,['74'],Siabs,"Opération de travaux d'arrêt, vidange et de nettoyage du digesteur de l'Udep de Sallanches",station d'épuration (travaux),Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53323
26-53459,2026-06-01,16,['16'],Commune de Confolens,"Maison dite du Duc d'Epernon, travaux de restauration de la façade principale et des extérieurs de la dépendance ouest","menuiserie, charpente, maçonnerie, couverture, monuments historiques",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53459
26-53463,2026-06-01,23,['23'],Creusalis - Office Public de l'Habitat de la Creuse,"Construction d'immeuble de 20 logements, Boulevard Carnot à Gueret","charpente, electricité (travaux), gros oeuvre, peinture (travaux), plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-1,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53463
26-53311,2026-06-01,67,"['67', '68', '88', '90']",CC CENTRE HAUT RHIN,Réaménagement de la déchetterie d’Ensisheim,déchetterie (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53311
26-53507,2026-06-01,60,"['60', '2']",EPFL des Territoires Oise et Aisne,Le marché public n° 26 PA T 05 a pour objet la réalisation de travaux de démolition et de désamiantage de l'ancien site industriel CERIC sis 01 rue d'Orcamps à Soissons (02200),"démolition, amiante (désamiantage), dépollution",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53507
26-53533,2026-06-01,34,['34'],Sdis 34,Extension et réhabilitation du Centre de Secours de Clermont l'Hérault_relance Lot 12,electricité (travaux),Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53533
26-53322,2026-06-01,39,['39'],REGION BOURGOGNE-FRANCHE-COMTE,Remplacement de la GTC et ajout d'un plan de comptage - Lycée Jacques Duhamel - Dole (39),electricité (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53322
26-53473,2026-06-01,83,['83'],Communaute D Agglomeration Sud Sainte Baume,"2025-Ass-0008 Accord-Cadre A Bons De Commande Gestion du trait de côte, des ouvrages maritimes non bétonnés et bétonnés du territoire de la Cassb",travaux dans l'eau,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53473
26-53348,2026-06-01,44,['44'],Nantes Métropole,REMPLACEMENT DE JOINTS DE CHAUSSÉE ET DE TROTTOIR SUR LE TERRITOIRE DE NANTES MÉTROPOLE PROGRAMME 2026 LOT 1 & 2,ouvrage d'art,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,1,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53348
26-53525,2026-06-01,973,['973'],Commune de Rémire Montjoly,Réfection de la piscine municipale,piscine,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53525
26-53398,2026-06-01,01,['1'],Terre Valserhone L'Interco,Marché de travaux pour les travaux de renouvellement du réseau Aep en Fonte Dn200 rue de l'Industrie commune de Valserhône pour le compte de la Communauté de Communes Terre Valserh,"alimentation en eau potable, canalisations",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53398
26-53387,2026-06-01,91,['91'],Etablissement public de santé Barthélémy-Durand,Construction d'un bâtiment « Atelier général »,gros oeuvre,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,-4,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53387
26-53365,2026-06-01,56,['56'],MAIRIE DE SARZEAU,Travaux de réalisation d'un platelage en bois,bois,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53365
26-53302,2026-06-01,20B,['20B'],Mairie De Ghisonaccia,Travaux de rénovation de la villa Teresa 2 pour la création d'un logement de type T3 situé sur le commune de Ghisonaccia,"electricité (travaux), gros oeuvre, menuiserie, peinture (travaux), plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53302
26-53300,2026-06-01,67,['67'],Port autonome de Strasbourg,Accord cadre pluriannuel 2025 - 2028 d'entretien et de réhabilitation  des voiries portuaires,voirie,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-53300
26-53287,2026-06-01,75,"['75', '77', '78', '91', '92', '93', '94', '95']",DISP PARIS,MISE EN PEINTURE DE 46 CELLULE ET REMPLACEMENT DES FENETRES,peinture (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53287
26-53318,2026-06-01,10,['10'],VILLE DE BAR SUR SEINE,Travaux de requalification du Centre bourg - Place du marché à Bar sur Seine (10110),"terrassement, espaces verts",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-53318
26-53426,2026-06-01,55,['55'],Commune de  Ligny-En-Barrois,Réhabilitation d'une ancienne boulangerie et de son logement - 2 place de la République à Ligny-en-Barrois (55500)-.,tous corps d'état,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53426
26-53470,2026-06-01,973,['973'],Cté de Cnes de l'Ouest Guyanais,CONSTRUCTION DE BUREAUX ET SANITAIRES SUR LE SITE DE LA DÉCHÈTERIE DE GRAND-SANTI,"tous corps d'état, plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53470
26-53489,2026-06-01,15,['15'],COMMUNE D'ARPAJON SUR CERE,Travaux de confortement et de valorisation écologique de berge sur le cours de la Cère à Arpajon sur Cère,"berge, espaces verts, terrassement",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-2,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53489
26-53491,2026-06-01,33,['33'],Mairie  de Cestas,Travaux d'aménagement du cimetière du Lucatet avec fourniture et pose de caveaux pour la commune de Cestas,cimetière,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53491
26-53530,2026-06-01,31,['31'],Spl Arac Occitanie Site Ouest,Travaux pour la démolition et la reconstruction d'une salle Polyespace à Saint-Sulpice-La-Pointe (Opération no 55087) - 17 lots travaux,"charpente, gros oeuvre",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53530
26-53531,2026-06-01,31,['31'],Spl Arac Occitanie,Travaux pour la démolition et la reconstruction d'une salle Polyespace à Saint-Sulpice-La-Pointe (Opération n° 55087) - Relance Du Lot N° 16 - Equipements Sceniques,matériel scénique,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53531
26-53535,2026-06-01,31,['31'],Spl Arac Occitanie Site Ouest,Travaux pour la démolition et la reconstruction d'une salle Polyespace à Saint-Sulpice-La-Pointe (Opération n° 55087) - Relance Du Lot N° 17 - Tribune Telescopique,"charpente, gros oeuvre",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53535
26-53504,2026-06-01,03,"['3', '63']",Vichy Communauté,"Construction d'un pôle sportif de pleine nature à Lavoine Montoncel - Phases 2 et 3 - Hébergements 3x12 lits et 2x6 lits - Relance des lots 4, 12 et 13","cuisine (équipement), equipement de piscine, etanchéité, mobilier",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53504
26-53508,2026-06-01,26,['26'],Mairie de Saint Vallier,Assistance à Maîtrise d'Ouvrage pour la refonte du système de drainage le long du Rhône sous la RN7.,drainage,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,-2,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53508
26-53419,2026-06-01,88,['88'],CA de Saint Dié des Vosges,Travaux pour la diminution des inondations et restauration du milieu aquatique à Rougiville-Taintrux,travaux forestiers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53419
26-53298,2026-06-01,35,['35'],Conseil Départemental d'Ille et Vilaine,Travaux Pour La Construction D'Un Centre Departemental D'Action Sociale Sur La Commune Le Rheu,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53298
26-53402,2026-06-01,18,['18'],Commune VIERZON,Rénovation de l'éclairage du stade Robert Barran,eclairage public,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53402
26-53403,2026-06-01,75,"['75', '78', '91', '92', '93', '94', '95']",CENTRE HOSPITALIER DE VERSAILLES,Travaux de modernisation des automates et de la GTB et sa maintenance associée pour le Centre Hospitalier de Rambouillet,electricité (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53403
26-53393,2026-06-01,09,['9'],Commune De Montsegur,Conservation et mise en valeur du château et du site de Montségur - Ariège,monuments historiques,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53393
26-53233,2026-05-31,69,['69'],CHU Lyon,Groupement Hospitalier Nord - Hôpital de la Croix-Rousse - Remplacement des salles d'imagerie interventionnelle 17 et 18 – opération n° 240262,tous corps d'état,Marchés européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53233
26-52852,2026-05-31,26,['26'],COMMUNE DE LA TOUCHE,AMENAGEMENT DE LA TRAVERSE DU VILLAGE RD127-RD210 COMMUNE DE LA TOUCHE 26160,voirie,Marchés européens,Procédure Ouverte,Avis de marché,2,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-52852
26-52924,2026-05-31,74,['74'],Syndicat Mixte d'Aménagement de l'Arve et de ses Affluents (SM3A),1ère tranche de travaux de confortement et reconstruction des digues de l'Arve sur les communes de Bonneville et de Ayze,digue,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-52924
26-53210,2026-05-31,37,['37'],Service Départemental d'Incendie et de Secours d'Indre-et-Loire,Remplacement des toitures de 6 centres de secours du Service Départemental d'Incendie et de Secours d'Indre et Loire (SDIS 37),"couverture, amiante (désamiantage)",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53210
26-53223,2026-05-31,69,"['69', '73', '38', '74', '1', '39']",Direction Interrégionale Services Pénitentiaire de Lyon,Travaux électrique Prison Aiton,"bâtiment, electricité (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53223
26-52727,2026-05-31,46,['46'],DEPARTEMENT DU LOT,Côte du Cluzel - Aménagements paysagers,espaces verts,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-52727
26-52879,2026-05-31,86,['86'],CISN COOPERATIVE,Opération LE HAMEAU DE MONTMIDI -Construction de 79 logements collectifs à POITIERS (86),bâtiment,Marchés européens,Procédure Ouverte,Avis de marché,-1,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-52879
26-53022,2026-05-31,24,['24'],EPAC Les Deux Séquoias,MARCHE PUBLIC DE TRAVAUX POUR LA RESTRUCTURATION DE L'EPAC « LES DEUX SEQUOIAS » A BOURDEILLES (24310) - LOT TERRASSEMENT - VRD,terrassement,Marchés européens,Procédure Ouverte,Résultat de marché,1,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53022
26-52704,2026-05-31,69,['69'],Communauté de Communes de l'Est Lyonnais,26.080 Accord-cadre pour l'entretien courant des voiries communautaires 2026-2030,voirie et réseaux divers,Marchés européens,Procédure Ouverte,Avis de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-52704
26-53165,2026-05-31,62,['62'],Conseil Départemental du Pas-de-Calais,"Travaux d'enrobés bitumineux sur routes départementales, pistes cyclables et patrimoine départementale - Travaux non programmés",voirie,Marchés européens,Procédure Ouverte,Résultat de marché,3,True,False,,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-53165
26-53231,2026-05-31,79,['79'],DEPARTEMENT DES DEUX-SEVRES,Travaux de restructuration et d'extension du collège Le Marchioux à Parthenay,"matériel de travaux publics, menuiserie, peinture (travaux), plomberie (travaux), serrurerie, charpente, electricité (travaux), terrassement, photovoltaïque, amiante (désamiantage), nettoyage de locaux, ascenseur, chauffage (travaux), cloison, faux plafond, cuisine (équipement), gros oeuvre, revêtements de sols",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53231
26-53128,2026-05-31,83,['83'],"VAR AMENAGEMENT DEVELOPPEMENT, au nom et pour le compte du Service d’Infrastructure de la Défense Méditerranée",CONSTRUCTION D’UN RESTAURANT NEUF « LA LIGURIENNE » SUR LA BASE NAVALE DE TOULON. Relance du lot n°03 - Echafaudages – Maçonnerie – Pierre de taille,"echafaudage, maçonnerie",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53128
26-52966,2026-05-31,75,"['75', '93']",Etablissement Public Foncier Ile-de-France,Travaux de bâtiments divers corps d'état pour les biens acquis et loués par l'EPF Île-de-France,"plomberie (travaux), décoration (travaux), electricité (travaux), peinture (travaux), chauffage (travaux)",Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-52966
26-52821,2026-05-31,42,['42'],CHU DE SAINT ETIENNE - GHT LOIRE,Le(s) présent(s) marché(s) a (ont) pour objet les travaux de restructuration du batiment L de l'Hôpital le Corbusier,"amiante (désamiantage), appareil élévateur, carrelage, charpente, chauffage (travaux), cloison, faux plafond, couverture, curage, démolition, electricité (travaux), espaces verts, etanchéité, fluides médicaux, gros oeuvre, isolation, maçonnerie, menuiserie, métallerie, nettoyage de locaux, peinture (travaux), revêtements de sols, serrurerie",Marchés européens,Procédure Ouverte,Résultat de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-52821
